,subjectID,videoID,root_mean_squared_error
0,1,1,0.18657349574135884
1,1,10,0.03883715221971083
2,1,13,0.272493946088138
3,1,18,0.5082194291652562
4,9,1,0.2881106446324569
5,9,10,0.2486027130159434
6,9,13,0.39104676868075083
7,9,18,0.8678585201310836
8,17,1,0.4114424847732736
9,17,10,0.11605903473856725
10,17,13,0.6066325631526357
11,17,18,0.3867586237678817
12,26,1,0.023925123527480587
13,26,10,0.0
14,26,13,0.37216967063094286
15,26,18,1.0665472282389963
16,32,1,0.33639503730735015
17,32,10,0.19239891285824579
18,32,13,1.0219025657453704
19,32,18,0.6879444284175945
20,37,1,0.010467315281086772
21,37,10,0.7409431718613302
22,37,13,0.08702506511228862
23,37,18,1.8704247783681622
